Date,Added,Removed,Reason,,,,,
09/22/19,2016,COO,The Cooper Companies,HOT,Starwood Hotels & Resorts Worldwide Inc,MAR acquires HOT[50],,
09/08/19,2016,CHTR,Charter Communications,EMC,EMC Corporation,Dell acquires EMC[51],,
09/06/19,2016,MTD,Mettler Toledo,JCI,Johnson Controls Inc,TYC acquires JCI (and becomes new JCI).[52],,
07/05/19,2016,FTV,Fortive Corp,CPGX,Columbia Pipeline Group,CPGX acquired by TRP[53],,
07/01/19,2016,LNT,Alliant Energy Corp,GAS,AGL Resources,GAS acquired by SO[54],,
07/01/19,2016,ALB,Albemarle Corp,TE,TECO Energy,TE acquired by EMA[53],,
06/22/19,2016,FBHS,Fortune Brands Home & Security,CVC,Cablevision Systems,CVC acquired by Altice NV[55],,
06/20/19,2016,UA-C,Under Armour Class C,,,Under Armour distribution of second class of stock,,
06/03/19,2016,TDG,TransDigm Group,BXLT,Baxalta Inc,SHPG acquiring BXLT[56],,
05/31/19,2016,AJG,Arthur J. Gallagher & Co.,CCE,Coca-Cola Enterprises,CCE merging with European bottlers[57],,
05/23/19,2016,LKQ,LKQ Corporation,ARG,Airgas Inc,ARG acquired by Air Liquide[58],,
05/18/19,2016,DLR,Digital Realty Trust Inc,TWC,Time Warner Cable,TWC acquired by CHTR[59],,
05/13/19,2016,ALK,Alaska Air Group Inc,SNDK,SanDisk Corporation,SNDK acquired by WDC[60],,
05/03/19,2016,AYI,Acuity Brands Inc,ADT,ADT Corp,ADT acquired by APO[61],,
04/25/19,2016,GPN,Global Payments Inc.,GME,GameStop,Global Payments is acquiring Heartland Payment Systems[62],,
04/18/19,2016,ULTA,Ulta Salon, Cosmetics & Fragrance Inc,THC,Tenet Healthcare,Ulta replaces Tenet[63],
04/04/19,2016,FL,Foot Locker Inc,CAM,Cameron International,Schlumberger acquired Cameron[64],,
03/30/19,2016,HOLX,Hologic Inc,POM,Pepco Holdings Inc,Exelon Corp acquired Pepco[65],,
03/30/19,2016,CNC,Centene Corporation,ESV,EnscoRowan,Centene acquired Health Net[65],,
03/07/19,2016,UDR,UDR, Inc.,GMCR,Keurig Green Mountain,JAB Holding Company acquired Keurig Green Mountain[66],
03/04/19,2016,AWK,American Water Works Company Inc,CNX,Consol Energy,AWK replaces CNX[67],,
02/22/19,2016,CXO,Concho Resources,PCL,Plum Creek Timber,PCL taken over by WY[68],,
02/01/19,2016,CFG,Citizens Financial Group,PCP,Precision Castparts Corp.,CFG replaces PCP[69],,
02/01/19,2016,FRT,Federal Realty Investment Trust,BRCM,Broadcom Corporation,FRT replaces BRCM[70],,
01/19/19,2016,EXR,Extra Space Storage,CB,Chubb Corp,EXR replaces CB[71],,
01/05/19,2016,WLTW,Willis Towers Watson,FOSL,Fossil Group,WSH merges with TW (and renames to WLTW)[72],,
12/29/19,2015,CHD,Church & Dwight,ALTR,Altera Corp,ALTR taken over by INTC[73],,
12/15/19,2015,,,CMCSK,Comcast K Corp,CMCSK shares no longer listed[74],,
12/01/19,2015,CSRA,CSRA Inc,CSC,Computer Sciences Corp,CSC spins off CSRA[75],,
11/19/19,2015,ILMN,Illumina Inc,SIAL,Sigma-Aldrich Corp,Sigma-Aldrich acquired by Merck KGaA (MKGAY)[76],,
11/18/19,2015,SYF,Synchrony Financial,GNW,Genworth Financial,GE spinning off Synchrony Financial[77],,
11/02/19,2015,HPE,Hewlett Packard Enterprise,HCBK,Hudson City Bancorp Inc,HPQ spins off HPE[78],,
10/07/19,2015,VRSK,Verisk Analytics,JOY,Joy Global,Market capitalization change.[79],,
09/18/19,2015,CMCSK,Comcast Class K Special,,,Share class methodology change[80],,
FOX,Twenty-First Century Fox Class B,,,,,,,
NWS,News Corporation Class B,,,,,,,
09/02/19,2015,UAL,United Continental Holdings,HSP,Hospira Inc,Hospira taken over[81],,
08/28/19,2015,ATVI,Activision Blizzard,PLL,Pall Corp,Pall taken over[81],,
07/29/19,2015,SIG,Signet Jewelers,DTV,DirecTV,DirectTV acquired by AT&T[82],,
07/20/19,2015,PYPL,PayPal,NE,Noble Corp,PayPal Spun off by eBay[83],,
07/08/19,2015,AAP,Advance Auto Parts,FDO,Family Dollar Stores Inc.,Family Dollar Acquired.[84],,
07/06/19,2015,KHC,Kraft Heinz,KRFT,Kraft Foods Group,Kraft merger with Heinz.[85],,
07/02/19,2015,CPGX,Columbia Pipeline Group,ATI,Allegheny Technologies,Spin off of Columbia Pipeline.[86],,
07/01/19,2015,JBHT,J. B. Hunt,TEG,Integrys Energy Group Inc.,Integris taken over.[87],,
07/01/19,2015,BXLT,Baxalta,QEP,QEP Resources,Baxalta spun off by Baxter.[88],,
06/11/19,2015,QRVO,Qorvo,LO,Lorillard Inc.,Lorillard Inc. gets acquired.[89],,
04/07/19,2015,O,Realty Income Corporation,WIN,Windstream Holdings Inc,Market capitalization change.[90],,
03/23/19,2015,AAL,American Airlines Group,AGN,Allergan, Inc,Allergan acquired by Actavis plc (and changed name to Allergan, pl.[91]
03/23/19,2015,EQIX,Equinix,DNR,Denbury Resources,Market Capitalization Changes.[92],,
SLG,SL Green Realty,NBR,Nabors Industries,,,,,
HBI,Hanesbrands,AVP,Avon Products,,,,,
03/18/19,2015,HSIC,Henry Schein,CFN,Carefusion,Carefusion acquired by Becton Dickinson[93],,
